id,source,tier,program,result,season,gpa,gpa_scale,gre_quant,gre_verbal,toefl,undergrad_school,undergrad_tier,undergrad_country,major,major_relevance,intern_count,intern_level,intern_relevance,has_paper,has_research,research_level,gender,nationality,raw_text
0d9eeeed7062,1p3a-offer,D,cmu-mscf,accepted,2021 Fall,,,,,,,,,,,,,,,,,,chinese,129 CMU MS in Computational Finance AD无奖 2021 Fall 2021-05-05 2021-03-15 邮件 0
56213805206a,1p3a-offer,D,cmu-mscf,waitlisted,2021 Fall,,,,,,,,,,,,,,,,,,chinese,129 CMU MSCF Waiting 2021 Fall 2021-03-08 2020-12-10 网申 0
0c9f8613c510,1p3a-offer,D,cmu-mscf,accepted,2020 Fall,,,,,,,,,,,,,,,,,,chinese,129 CMU MSCF AD无奖 2020 Fall 2020-03-10 2019-11-01 邮件 0
6d1ac0c4d919,1p3a-offer,D,cmu-mscf,rejected,2020 Fall,,,,,,,,,,,,,,,,,,chinese,129 CMU MSCF Reject 2020 Fall 2020-03-10 2019-11-14 邮件 0 自费AD
c0899e408f72,1p3a-offer,D,cmu-mscf,waitlisted,2020 Fall,,,,,,,,,,,,,,,,,,chinese,129 CMU MSCF Waiting 2020 Fall 2020-03-10 2019-12-09 网申 0 自费AD
2267ec5c6499,1p3a-offer,D,columbia-msfe,accepted,2026 Fall,,,,,,,,,,,,,,,,,,chinese,162 COLUMBIA FE AD无奖 2026 Fall 2026-03-03 2026-01-07 邮件 0 自费AD
efb3d2eb1aeb,1p3a-offer,D,columbia-msfe,accepted,2025 Fall,,,,,,,,,,,,,,,,,,chinese,162 COLUMBIA MS in Financial Engineering AD无奖 2025 Fall 2025-03-06 2025-01-16 邮件 0
5eea84871929,1p3a-offer,D,columbia-msfe,accepted,2024 Fall,,,,,,,,,,,,,,,,,,chinese,162 COLUMBIA FE AD无奖 2024 Fall 2024-03-27 2024-01-10 邮件 0
7005a3e3d6cd,1p3a-offer,D,columbia-msfe,accepted,2023 Fall,,,,,,,,,,,,,,,,,,chinese,162 COLUMBIA FE AD无奖 2023 Fall 2023-04-27 网申 0 自费AD
0dcad8c9f51e,1p3a-offer,D,columbia-msfe,rejected,2022 Fall,,,,,,,,,,,,,,,,,,chinese,162 COLUMBIA MS in Financial Engineering Reject 2022 Fall 2022-04-23 2021-12-18 网申 0
d9291bdceae6,1p3a-offer,D,columbia-msfe,accepted,2022 Fall,,,,,,,,,,,,,,,,,,chinese,162 COLUMBIA FE AD无奖 2022 Fall 2022-02-12 2022-01-05 网申 0 自费AD
a71896429a44,1p3a-offer,D,columbia-msfe,accepted,2022 Fall,,,,,,,,,,,,,,,,,,chinese,162 COLUMBIA MS in Financial Engineering AD小奖 2022 Fall 2022-01-07 2021-12-01 邮件 0
c1977e3475a3,1p3a-offer,D,columbia-msfe,accepted,2021 Fall,,,,,,,,,,,,,,,,,,chinese,162 COLUMBIA FE AD无奖 2021 Fall 2021-08-20 邮件 0 自费AD
ae26b5593cd0,1p3a-offer,D,columbia-msfe,rejected,2021 Fall,,,,,,,,,,,,,,,,,,chinese,162 COLUMBIA MS in Financial Engineering Reject 2021 Fall 2021-04-23 2021-01-05 网申 0
7fbf07672a17,1p3a-offer,D,columbia-msfe,waitlisted,2021 Fall,,,,,,,,,,,,,,,,,,chinese,162 COLUMBIA FE Waiting 2021 Fall 2021-02-18 2021-01-15 邮件 0
f17cad3ca390,1p3a-offer,D,columbia-msfe,accepted,2021 Spring,,,,,,,,,,,,,,,,,,chinese,162 COLUMBIA FE AD无奖 2021 Spring 2020-12-04 2020-10-02 邮件 0
003701dc239c,1p3a-offer,D,columbia-msfe,waitlisted,2020 Fall,,,,,,,,,,,,,,,,,,chinese,162 COLUMBIA FE Waiting 2020 Fall 2020-05-15 邮件 0 自费AD
d9c9d93d0dd1,1p3a-offer,D,columbia-msfe,rejected,2020 Fall,,,,,,,,,,,,,,,,,,chinese,162 COLUMBIA FE Reject 2020 Fall 2020-05-05 2020-01-03 邮件 0 自费AD
2e66efd63857,1p3a-offer,D,columbia-msfe,accepted,2020 Fall,,,,,,,,,,,,,,,,,,chinese,162 COLUMBIA FE AD无奖 2020 Fall 2020-03-28 网申 0 自费AD
1bc83e99a3b6,1p3a-offer,D,columbia-msfe,accepted,2025 Fall,,,,,,,,,,,,,,,,,,chinese,170 COLUMBIA MAFN AD无奖 2025 Fall 2025-04-25 0 自费AD
26e0adb8ddce,1p3a-offer,D,columbia-msfe,accepted,2023 Fall,,,,,,,,,,,,,,,,,,chinese,170 COLUMBIA MA in Mathematics of Finance AD无奖 2023 Fall 2023-03-13 2023-01-15 邮件 0
636271794013,1p3a-offer,D,columbia-msfe,rejected,2023 Fall,,,,,,,,,,,,,,,,,,chinese,170 COLUMBIA MA in Mathematics of Finance Reject 2023 Fall 2023-02-21 2023-01-07 邮件 0
